datetime,maxPersonCount,personCount,free,used,dayOfWeek,dayOfWeekName,date,time
26/07/2026 15:53:02,500,0,100,0,7,Sunday,26/07/2026,15:53:02
26/07/2026 16:08:01,500,0,100,0,7,Sunday,26/07/2026,16:08:01
26/07/2026 16:23:01,500,0,100,0,7,Sunday,26/07/2026,16:23:01
26/07/2026 16:38:00,500,0,100,0,7,Sunday,26/07/2026,16:38:00
26/07/2026 16:53:01,500,0,100,0,7,Sunday,26/07/2026,16:53:01
26/07/2026 17:08:00,500,0,100,0,7,Sunday,26/07/2026,17:08:00
26/07/2026 17:23:01,500,0,100,0,7,Sunday,26/07/2026,17:23:01
26/07/2026 17:38:01,500,0,100,0,7,Sunday,26/07/2026,17:38:01
26/07/2026 17:53:01,500,0,100,0,7,Sunday,26/07/2026,17:53:01
26/07/2026 18:08:01,500,0,100,0,7,Sunday,26/07/2026,18:08:01
26/07/2026 18:23:00,500,0,100,0,7,Sunday,26/07/2026,18:23:00
26/07/2026 18:38:01,500,0,100,0,7,Sunday,26/07/2026,18:38:01
26/07/2026 18:53:01,500,0,100,0,7,Sunday,26/07/2026,18:53:01
26/07/2026 19:08:01,500,0,100,0,7,Sunday,26/07/2026,19:08:01
26/07/2026 19:23:01,500,0,100,0,7,Sunday,26/07/2026,19:23:01
26/07/2026 19:38:01,500,0,100,0,7,Sunday,26/07/2026,19:38:01
26/07/2026 19:53:01,500,0,100,0,7,Sunday,26/07/2026,19:53:01
26/07/2026 20:08:01,500,0,100,0,7,Sunday,26/07/2026,20:08:01
26/07/2026 20:23:00,500,0,100,0,7,Sunday,26/07/2026,20:23:00
26/07/2026 20:38:01,500,0,100,0,7,Sunday,26/07/2026,20:38:01
26/07/2026 20:53:01,500,0,100,0,7,Sunday,26/07/2026,20:53:01
26/07/2026 21:08:01,500,0,100,0,7,Sunday,26/07/2026,21:08:01
26/07/2026 21:23:01,500,0,100,0,7,Sunday,26/07/2026,21:23:01
26/07/2026 21:38:01,500,0,100,0,7,Sunday,26/07/2026,21:38:01
26/07/2026 21:53:01,500,0,100,0,7,Sunday,26/07/2026,21:53:01
26/07/2026 22:08:03,500,0,100,0,7,Sunday,26/07/2026,22:08:03
26/07/2026 22:23:01,500,0,100,0,7,Sunday,26/07/2026,22:23:01
26/07/2026 22:38:02,500,0,100,0,7,Sunday,26/07/2026,22:38:02
26/07/2026 22:53:01,500,0,100,0,7,Sunday,26/07/2026,22:53:01
27/07/2026 07:08:00,500,0,100,0,1,Monday,27/07/2026,07:08:00
27/07/2026 07:23:01,500,0,100,0,1,Monday,27/07/2026,07:23:01
27/07/2026 07:38:00,500,0,100,0,1,Monday,27/07/2026,07:38:00
27/07/2026 07:53:01,500,0,100,0,1,Monday,27/07/2026,07:53:01
