datetime,maxPersonCount,personCount,free,used,dayOfWeek,dayOfWeekName,date,time
12/01/2025 12:45:02,312,96,69,31,7,Sunday,12/01/2025,12:45:02
12/01/2025 13:00:01,312,100,68,32,7,Sunday,12/01/2025,13:00:01
12/01/2025 13:15:01,312,93,70,30,7,Sunday,12/01/2025,13:15:01
12/01/2025 13:30:01,312,96,69,31,7,Sunday,12/01/2025,13:30:01
12/01/2025 13:45:01,312,100,68,32,7,Sunday,12/01/2025,13:45:01
12/01/2025 14:00:01,312,95,70,30,7,Sunday,12/01/2025,14:00:01
12/01/2025 14:15:01,312,101,68,32,7,Sunday,12/01/2025,14:15:01
12/01/2025 14:30:02,312,103,67,33,7,Sunday,12/01/2025,14:30:02
12/01/2025 14:45:01,312,102,67,33,7,Sunday,12/01/2025,14:45:01
12/01/2025 15:00:01,312,107,66,34,7,Sunday,12/01/2025,15:00:01
12/01/2025 15:15:01,312,108,65,35,7,Sunday,12/01/2025,15:15:01
12/01/2025 15:30:01,312,124,60,40,7,Sunday,12/01/2025,15:30:01
12/01/2025 15:45:01,312,128,59,41,7,Sunday,12/01/2025,15:45:01
12/01/2025 16:00:01,312,115,63,37,7,Sunday,12/01/2025,16:00:01
12/01/2025 16:15:01,312,128,59,41,7,Sunday,12/01/2025,16:15:01
12/01/2025 16:30:01,312,126,60,40,7,Sunday,12/01/2025,16:30:01
12/01/2025 16:45:02,312,125,60,40,7,Sunday,12/01/2025,16:45:02
12/01/2025 17:00:01,312,112,64,36,7,Sunday,12/01/2025,17:00:01
12/01/2025 17:15:04,312,108,65,35,7,Sunday,12/01/2025,17:15:04
12/01/2025 17:30:01,312,102,67,33,7,Sunday,12/01/2025,17:30:01
12/01/2025 17:45:01,312,96,69,31,7,Sunday,12/01/2025,17:45:01
12/01/2025 18:00:01,312,80,74,26,7,Sunday,12/01/2025,18:00:01
12/01/2025 18:15:01,312,72,77,23,7,Sunday,12/01/2025,18:15:01
12/01/2025 18:30:01,312,64,79,21,7,Sunday,12/01/2025,18:30:01
12/01/2025 18:45:01,312,60,81,19,7,Sunday,12/01/2025,18:45:01
12/01/2025 19:00:02,312,52,83,17,7,Sunday,12/01/2025,19:00:02
12/01/2025 19:15:01,312,47,85,15,7,Sunday,12/01/2025,19:15:01
12/01/2025 19:30:02,312,45,86,14,7,Sunday,12/01/2025,19:30:02
12/01/2025 19:45:02,312,33,89,11,7,Sunday,12/01/2025,19:45:02
12/01/2025 20:00:01,312,34,89,11,7,Sunday,12/01/2025,20:00:01
12/01/2025 20:15:01,312,35,89,11,7,Sunday,12/01/2025,20:15:01
12/01/2025 20:30:01,312,36,88,12,7,Sunday,12/01/2025,20:30:01
12/01/2025 20:45:01,312,42,87,13,7,Sunday,12/01/2025,20:45:01
12/01/2025 21:00:01,312,41,87,13,7,Sunday,12/01/2025,21:00:01
12/01/2025 21:15:01,312,32,90,10,7,Sunday,12/01/2025,21:15:01
12/01/2025 21:30:01,312,24,92,8,7,Sunday,12/01/2025,21:30:01
12/01/2025 21:45:01,312,19,94,6,7,Sunday,12/01/2025,21:45:01
12/01/2025 22:00:01,312,5,98,2,7,Sunday,12/01/2025,22:00:01
12/01/2025 22:15:02,312,4,99,1,7,Sunday,12/01/2025,22:15:02
12/01/2025 22:30:01,312,4,99,1,7,Sunday,12/01/2025,22:30:01
12/01/2025 22:45:01,312,4,99,1,7,Sunday,12/01/2025,22:45:01
12/01/2025 23:00:01,312,4,99,1,7,Sunday,12/01/2025,23:00:01
12/01/2025 23:15:01,312,4,99,1,7,Sunday,12/01/2025,23:15:01
12/01/2025 23:30:01,312,4,99,1,7,Sunday,12/01/2025,23:30:01
12/01/2025 23:45:01,312,4,99,1,7,Sunday,12/01/2025,23:45:01
13/01/2025 07:00:02,312,0,100,0,1,Monday,13/01/2025,07:00:02
13/01/2025 07:15:01,312,0,100,0,1,Monday,13/01/2025,07:15:01
13/01/2025 07:30:01,312,0,100,0,1,Monday,13/01/2025,07:30:01
13/01/2025 07:45:01,312,0,100,0,1,Monday,13/01/2025,07:45:01
13/01/2025 08:00:01,312,0,100,0,1,Monday,13/01/2025,08:00:01
13/01/2025 08:15:01,312,62,80,20,1,Monday,13/01/2025,08:15:01
13/01/2025 08:30:01,312,66,79,21,1,Monday,13/01/2025,08:30:01
13/01/2025 08:45:01,312,75,76,24,1,Monday,13/01/2025,08:45:01
13/01/2025 09:00:01,312,76,76,24,1,Monday,13/01/2025,09:00:01
13/01/2025 09:15:01,312,43,86,14,1,Monday,13/01/2025,09:15:01
13/01/2025 09:30:01,312,64,79,21,1,Monday,13/01/2025,09:30:01
13/01/2025 09:45:01,312,66,79,21,1,Monday,13/01/2025,09:45:01
