datetime,maxPersonCount,personCount,free,used,dayOfWeek,dayOfWeekName,date,time
28/10/2025 22:31:01,311,2,99,1,2,Tuesday,28/10/2025,22:31:01
28/10/2025 22:46:01,311,2,99,1,2,Tuesday,28/10/2025,22:46:01
29/10/2025 07:01:01,311,0,100,0,3,Wednesday,29/10/2025,07:01:01
29/10/2025 07:16:01,311,0,100,0,3,Wednesday,29/10/2025,07:16:01
29/10/2025 07:31:01,311,0,100,0,3,Wednesday,29/10/2025,07:31:01
29/10/2025 07:46:01,311,0,100,0,3,Wednesday,29/10/2025,07:46:01
29/10/2025 08:01:01,311,8,97,3,3,Wednesday,29/10/2025,08:01:01
29/10/2025 08:16:01,311,24,92,8,3,Wednesday,29/10/2025,08:16:01
29/10/2025 08:31:01,311,85,73,27,3,Wednesday,29/10/2025,08:31:01
29/10/2025 08:46:01,311,94,70,30,3,Wednesday,29/10/2025,08:46:01
29/10/2025 09:01:01,311,93,70,30,3,Wednesday,29/10/2025,09:01:01
29/10/2025 09:16:01,311,98,68,32,3,Wednesday,29/10/2025,09:16:01
29/10/2025 09:31:01,311,48,85,15,3,Wednesday,29/10/2025,09:31:01
29/10/2025 09:46:01,311,33,89,11,3,Wednesday,29/10/2025,09:46:01
29/10/2025 10:01:01,311,73,77,23,3,Wednesday,29/10/2025,10:01:01
29/10/2025 10:16:01,311,77,75,25,3,Wednesday,29/10/2025,10:16:01
29/10/2025 10:31:01,311,80,74,26,3,Wednesday,29/10/2025,10:31:01
29/10/2025 10:46:01,311,75,76,24,3,Wednesday,29/10/2025,10:46:01
29/10/2025 11:01:01,311,34,89,11,3,Wednesday,29/10/2025,11:01:01
29/10/2025 11:16:01,311,30,90,10,3,Wednesday,29/10/2025,11:16:01
29/10/2025 11:31:02,311,24,92,8,3,Wednesday,29/10/2025,11:31:02
