datetime,maxPersonCount,personCount,free,used,dayOfWeek,dayOfWeekName,date,time
19/07/2026 21:51:00,959,98,90,10,7,Sunday,19/07/2026,21:51:00
19/07/2026 22:06:01,959,85,91,9,7,Sunday,19/07/2026,22:06:01
19/07/2026 22:21:01,959,66,93,7,7,Sunday,19/07/2026,22:21:01
19/07/2026 22:36:01,959,58,94,6,7,Sunday,19/07/2026,22:36:01
19/07/2026 22:51:01,959,35,96,4,7,Sunday,19/07/2026,22:51:01
20/07/2026 07:06:01,959,19,98,2,1,Monday,20/07/2026,07:06:01
20/07/2026 07:21:00,959,31,97,3,1,Monday,20/07/2026,07:21:00
20/07/2026 07:36:00,959,39,96,4,1,Monday,20/07/2026,07:36:00
20/07/2026 07:51:00,959,42,96,4,1,Monday,20/07/2026,07:51:00
20/07/2026 08:06:01,959,50,95,5,1,Monday,20/07/2026,08:06:01
20/07/2026 08:21:01,959,110,89,11,1,Monday,20/07/2026,08:21:01
20/07/2026 08:36:01,959,108,89,11,1,Monday,20/07/2026,08:36:01
20/07/2026 08:51:01,959,120,87,13,1,Monday,20/07/2026,08:51:01
20/07/2026 09:06:00,959,127,87,13,1,Monday,20/07/2026,09:06:00
20/07/2026 09:21:01,959,145,85,15,1,Monday,20/07/2026,09:21:01
20/07/2026 09:36:04,959,161,83,17,1,Monday,20/07/2026,09:36:04
20/07/2026 09:51:03,959,174,82,18,1,Monday,20/07/2026,09:51:03
20/07/2026 10:06:01,959,169,82,18,1,Monday,20/07/2026,10:06:01
20/07/2026 10:21:01,959,171,82,18,1,Monday,20/07/2026,10:21:01
20/07/2026 10:36:00,959,175,82,18,1,Monday,20/07/2026,10:36:00
20/07/2026 10:51:01,959,174,82,18,1,Monday,20/07/2026,10:51:01
20/07/2026 11:06:00,959,167,83,17,1,Monday,20/07/2026,11:06:00
20/07/2026 11:21:01,959,156,84,16,1,Monday,20/07/2026,11:21:01
20/07/2026 11:36:01,959,168,82,18,1,Monday,20/07/2026,11:36:01
20/07/2026 11:51:01,959,162,83,17,1,Monday,20/07/2026,11:51:01
20/07/2026 12:06:01,959,157,84,16,1,Monday,20/07/2026,12:06:01
20/07/2026 12:21:01,959,148,85,15,1,Monday,20/07/2026,12:21:01
20/07/2026 12:36:01,959,146,85,15,1,Monday,20/07/2026,12:36:01
20/07/2026 12:51:01,959,144,85,15,1,Monday,20/07/2026,12:51:01
20/07/2026 13:06:01,959,132,86,14,1,Monday,20/07/2026,13:06:01
20/07/2026 13:21:01,959,142,85,15,1,Monday,20/07/2026,13:21:01
20/07/2026 13:36:01,959,139,86,14,1,Monday,20/07/2026,13:36:01
20/07/2026 13:51:01,959,138,86,14,1,Monday,20/07/2026,13:51:01
20/07/2026 14:06:03,959,141,85,15,1,Monday,20/07/2026,14:06:03
20/07/2026 14:21:01,959,129,87,13,1,Monday,20/07/2026,14:21:01
20/07/2026 14:36:01,959,130,86,14,1,Monday,20/07/2026,14:36:01
20/07/2026 14:51:01,959,136,86,14,1,Monday,20/07/2026,14:51:01
20/07/2026 15:06:01,959,136,86,14,1,Monday,20/07/2026,15:06:01
20/07/2026 15:21:01,959,149,84,16,1,Monday,20/07/2026,15:21:01
20/07/2026 15:36:01,959,169,82,18,1,Monday,20/07/2026,15:36:01
20/07/2026 15:51:01,959,175,82,18,1,Monday,20/07/2026,15:51:01
20/07/2026 16:06:12,959,199,79,21,1,Monday,20/07/2026,16:06:12
20/07/2026 16:21:01,959,221,77,23,1,Monday,20/07/2026,16:21:01
20/07/2026 16:36:00,959,244,75,25,1,Monday,20/07/2026,16:36:00
20/07/2026 16:51:05,959,256,73,27,1,Monday,20/07/2026,16:51:05
20/07/2026 17:06:07,959,278,71,29,1,Monday,20/07/2026,17:06:07
20/07/2026 17:21:01,959,293,69,31,1,Monday,20/07/2026,17:21:01
20/07/2026 17:36:03,959,275,71,29,1,Monday,20/07/2026,17:36:03
20/07/2026 17:51:07,959,287,70,30,1,Monday,20/07/2026,17:51:07
20/07/2026 18:06:03,959,301,69,31,1,Monday,20/07/2026,18:06:03
20/07/2026 18:21:01,959,279,71,29,1,Monday,20/07/2026,18:21:01
20/07/2026 18:36:01,959,261,73,27,1,Monday,20/07/2026,18:36:01
20/07/2026 18:51:01,959,284,70,30,1,Monday,20/07/2026,18:51:01
20/07/2026 19:06:01,959,295,69,31,1,Monday,20/07/2026,19:06:01
20/07/2026 19:21:03,959,295,69,31,1,Monday,20/07/2026,19:21:03
20/07/2026 19:36:01,959,275,71,29,1,Monday,20/07/2026,19:36:01
20/07/2026 19:51:01,959,278,71,29,1,Monday,20/07/2026,19:51:01
20/07/2026 20:06:01,959,263,73,27,1,Monday,20/07/2026,20:06:01
20/07/2026 20:21:01,959,241,75,25,1,Monday,20/07/2026,20:21:01
20/07/2026 20:36:05,959,225,77,23,1,Monday,20/07/2026,20:36:05
20/07/2026 20:51:00,959,219,77,23,1,Monday,20/07/2026,20:51:00
20/07/2026 21:06:01,959,224,77,23,1,Monday,20/07/2026,21:06:01
20/07/2026 21:21:01,959,212,78,22,1,Monday,20/07/2026,21:21:01
20/07/2026 21:36:01,959,206,79,21,1,Monday,20/07/2026,21:36:01
20/07/2026 21:51:01,959,188,80,20,1,Monday,20/07/2026,21:51:01
20/07/2026 22:06:01,959,165,83,17,1,Monday,20/07/2026,22:06:01
20/07/2026 22:21:01,959,150,84,16,1,Monday,20/07/2026,22:21:01
20/07/2026 22:36:01,959,114,88,12,1,Monday,20/07/2026,22:36:01
20/07/2026 22:51:01,959,92,90,10,1,Monday,20/07/2026,22:51:01
21/07/2026 07:06:01,959,41,96,4,2,Tuesday,21/07/2026,07:06:01
21/07/2026 07:21:00,959,50,95,5,2,Tuesday,21/07/2026,07:21:00
21/07/2026 07:36:01,959,57,94,6,2,Tuesday,21/07/2026,07:36:01
